,Country Name,Year,GDP,Population (Millions),CO2 per capita (Trillions),GDP (Trillions USD($)),GDP per capita
47,Malawi,1982,1717379494.63245,6.778879,0.08749094,0.00171737949463245,253.34269790513298
48,Malawi,1983,1780148049.43635,7.051709,0.0814746,0.00178014804943635,252.44207460012177
49,Malawi,1984,1758028656.12928,7.33281,0.07584854,0.00175802865612928,239.74828969102978
50,Malawi,1985,1646442272.89094,7.620508,0.07300182,0.00164644227289094,216.05413614039117
51,Malawi,1986,1722586299.409,7.90648,0.06987365,0.0017225862994089999,217.87018994660073
52,Malawi,1987,1721711808.48111,8.293174,0.06572816,0.00172171180848111,207.60589473717903
53,Malawi,1988,2008189508.37875,8.753262,0.061861146,0.00200818950837875,229.4218439227285
54,Malawi,1989,2314205129.58032,9.17622,0.06139247,0.0023142051295803197,252.19590741942974
55,Malawi,1990,2737087861.62245,9.545852,0.0771964,0.00273708786162245,286.73059896826913
56,Malawi,1991,3206783830.41779,9.844227,0.07998139,0.00320678383041779,325.75273105930916
57,Malawi,1992,2618837835.02508,10.135079,0.07765985,0.00261883783502508,258.3934308775571
58,Malawi,1993,3013392657.99911,10.284024,0.08543113,0.00301339265799911,293.01688307992185
59,Malawi,1994,1719864761.30628,10.164894,0.08871215,0.00171986476130628,169.1965269196393
60,Malawi,1995,2033701497.97085,10.150117,0.08897331,0.00203370149797085,200.36237000724722
61,Malawi,1996,3319573749.6119,10.352228,0.08882437,0.0033195737496119,320.6627355591376
62,Malawi,1997,3875785863.38323,10.562035,0.08693609,0.00387578586338323,366.95446127410395
63,Malawi,1998,2547609590.06984,10.792876,0.08355085,0.00254760959006984,236.04547945050422
64,Malawi,1999,2584478924.06081,11.047804,0.08085438,0.00258447892406081,233.93598619787335
65,Malawi,2000,2537307580.32808,11.315942,0.075467125,0.0025373075803280802,224.22415918428007
66,Malawi,2001,2498008664.6691,11.593058,0.067047715,0.0024980086646690996,215.47452489835726
67,Malawi,2002,5087328437.8737,11.88044,0.07207096,0.0050873284378737,428.2104398383983
68,Malawi,2003,4669789300.35662,12.181574,0.07509989,0.0046697893003566195,383.34859685264155
69,Malawi,2004,5058726350.48896,12.500737,0.072129995,0.00505872635048896,404.6742484454285
70,Malawi,2005,5320409651.47544,12.840031,0.06583464,0.00532040965147544,414.36112198447495
71,Malawi,2006,5818279739.14354,13.198701,0.064500906,0.005818279739143541,440.82214902387295
72,Malawi,2007,6451210219.11683,13.576343,0.067704454,0.0064512102191168295,475.1802616593312
73,Malawi,2008,7743617352.21427,13.976417,0.07145645,0.007743617352214269,554.0488203961194
74,Malawi,2009,9009887946.82039,14.395788,0.07068769,0.00900988794682039,625.8697298696251
75,Malawi,2010,10128323010.6049,14.826463,0.06556937,0.0101283230106049,683.124694716798
76,Malawi,2011,11648142958.3651,15.265022,0.067726314,0.011648142958365101,763.0610003945687
77,Malawi,2012,8773203178.16512,15.709577,0.06624946,0.008773203178165118,558.46208832772
78,Malawi,2013,8031571927.62055,16.161816,0.06931331,0.00803157192762055,496.9473682673128
79,Malawi,2014,8801326169.14547,16.621538,0.06107204,0.00880132616914547,529.5133440205997
80,Malawi,2015,9219474379.31534,17.085587,0.061449982,0.00921947437931534,539.6053632406858
81,Malawi,2016,7909868618.46366,17.557739,0.066776246,0.007909868618463661,450.50610551071867
82,Malawi,2017,8943543793.5839,18.039715,0.0661337,0.0089435437935839,495.76968336716516
83,Malawi,2018,9879220354.29186,18.528081,0.09121552,0.00987922035429186,533.2025671893307
